TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1717837436        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837446        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837457        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837467        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837477        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837487        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837497        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837508        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837518        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837528        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837538        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837549        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837559        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837569        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837580        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837591        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837602        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837612        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837622        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837633        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837643        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837653        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837665        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837675        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837688        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837698        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837708        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837719        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837729        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837740        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837750        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837761        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837771        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837781        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837792        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837802        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837812        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1717837823        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
